ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
2,Student_2,9.6,61,60.0,D,Pass,55.26
8,Student_8,8.8,70,67.9,D,Pass,62.620000000000005
12,Student_12,9.7,65,50.5,F,Pass,50.769999999999996
13,Student_13,8.5,55,69.99137749737118,D,Pass,59.344826498422705
26,Student_26,8.1,59,99.5,A,Pass,78.21
34,Student_34,9.5,56,47.7,F,Pass,46.370000000000005
35,Student_35,9.7,63,89.6,B,Pass,73.63
36,Student_36,8.3,64,86.9,B,Pass,72.17
44,Student_44,9.2,78,73.2,C,Pass,68.24
51,Student_51,9.7,91,69.8,D,Pass,70.14999999999999
53,Student_53,9.5,66,91.1,A,Pass,75.41
54,Student_54,9.1,63,52.5,F,Pass,51.309999999999995
56,Student_56,9.3,73,47.0,F,Pass,51.029999999999994
63,Student_63,8.5,92,58.3,F,Pass,63.43
68,Student_68,8.2,88,60.8,D,Pass,63.699999999999996
70,Student_70,9.9,98,78.5,C,Pass,77.49
74,Student_74,8.3,74,95.4,A,Pass,80.27
81,Student_81,8.8,93,48.8,F,Pass,58.059999999999995
89,Student_89,9.0,67,65.9,D,Pass,60.54
105,Student_105,9.2,88,81.7,B,Pass,76.34
113,Student_113,9.4,63,43.7,F,Pass,46.06
114,Student_114,8.3,79,70.6,C,Pass,66.88999999999999
116,Student_116,8.8,53,88.8,B,Pass,70.05999999999999
117,Student_117,8.2,67,76.9,C,Pass,67.05999999999999
119,Student_119,9.0,74,77.4,C,Pass,69.54
121,Student_121,8.3,50,65.6,D,Pass,55.18999999999999
122,Student_122,9.1,95,47.8,F,Pass,58.08999999999999
127,Student_127,8.4,73,64.8,D,Pass,61.62
128,Student_128,8.7,53,89.7,B,Pass,70.59
135,Student_135,9.5,95,55.6,F,Pass,62.81
140,Student_140,9.7,74,40.7,F,Pass,47.59
141,Student_141,9.7,56,69.99137749737118,D,Pass,59.76482649842271
151,Student_151,9.2,83,69.3,D,Pass,67.39999999999999
155,Student_155,9.9,52,68.6,D,Pass,57.75
166,Student_166,8.5,91,55.3,F,Pass,61.330000000000005
179,Student_179,9.4,58,84.2,B,Pass,68.86
183,Student_183,9.3,83,45.1,F,Pass,52.88999999999999
184,Student_184,8.9,60,83.0,B,Pass,68.69
187,Student_187,8.4,77,40.7,F,Pass,48.36
192,Student_192,9.1,83,61.0,D,Pass,62.41
193,Student_193,9.1,61,86.5,B,Pass,71.11
198,Student_198,9.1,74,69.99137749737118,D,Pass,65.1048264984227
199,Student_199,9.0,54,85.9,B,Pass,68.64
204,Student_204,9.1,87,57.7,F,Pass,61.629999999999995
220,Student_220,8.6,94,74.9,C,Pass,74.0
227,Student_227,9.8,89,53.5,F,Pass,59.779999999999994
229,Student_229,9.0,62,65.9,D,Pass,59.04
231,Student_231,8.2,82,76.8,C,Pass,71.49999999999999
241,Student_241,9.5,62,90.8,A,Pass,74.03
242,Student_242,9.6,92,95.1,A,Pass,85.61999999999999
243,Student_243,9.2,94,55.1,F,Pass,62.18000000000001
246,Student_246,9.4,85,90.5,A,Pass,80.74
248,Student_248,9.7,87,86.6,B,Pass,79.02999999999999
249,Student_249,9.7,56,79.4,C,Pass,65.41
250,Student_250,8.7,54,50.6,F,Pass,47.43
253,Student_253,8.7,100,96.2,A,Pass,88.59
257,Student_257,9.4,59,83.6,B,Pass,68.8
262,Student_262,9.9,80,84.0,B,Pass,75.39
265,Student_265,8.9,51,70.5,C,Pass,58.489999999999995
271,Student_271,8.3,51,85.7,B,Pass,67.55
272,Student_272,8.3,81,49.6,F,Pass,54.89
273,Student_273,8.8,62,67.7,D,Pass,60.1
274,Student_274,9.2,95,40.6,F,Pass,53.78
277,Student_277,8.2,90,99.5,A,Pass,87.51999999999998
280,Student_280,8.2,80,88.0,B,Pass,77.61999999999999
281,Student_281,9.0,83,52.2,F,Pass,57.12
293,Student_293,8.4,83,52.1,F,Pass,57.0
306,Student_306,9.8,76,63.5,D,Pass,61.88
309,Student_309,8.2,71,40.2,F,Pass,46.24
314,Student_314,9.7,75,75.3,C,Pass,68.65
315,Student_315,8.5,67,68.9,D,Pass,62.29
325,Student_325,9.6,78,89.5,B,Pass,78.05999999999999
337,Student_337,8.7,95,66.0,D,Pass,68.97
352,Student_352,8.7,96,74.3,C,Pass,74.25
359,Student_359,9.5,66,89.9,B,Pass,74.69000000000001
365,Student_365,9.5,65,65.8,D,Pass,59.93
367,Student_367,9.7,69,90.5,A,Pass,75.97
368,Student_368,9.1,55,51.2,F,Pass,48.129999999999995
377,Student_377,8.6,98,83.8,B,Pass,80.53999999999999
379,Student_379,8.3,73,49.5,F,Pass,52.42999999999999
384,Student_384,8.9,65,97.4,A,Pass,78.83
386,Student_386,8.2,57,43.4,F,Pass,43.96
390,Student_390,8.3,78,94.4,A,Pass,80.86999999999999
391,Student_391,9.9,57,55.0,F,Pass,51.089999999999996
396,Student_396,9.4,56,43.9,F,Pass,44.08
397,Student_397,8.7,52,69.3,D,Pass,58.05
402,Student_402,9.1,69,71.9,C,Pass,64.75
404,Student_404,8.4,64,60.8,D,Pass,56.519999999999996
406,Student_406,9.1,79,41.3,F,Pass,49.38999999999999
409,Student_409,9.1,66,73.6,C,Pass,64.86999999999999
412,Student_412,9.6,85,65.1,D,Pass,65.52
413,Student_413,9.6,58,55.6,F,Pass,51.72
421,Student_421,8.1,62,69.99137749737118,D,Pass,61.40482649842271
422,Student_422,8.1,66,76.5,C,Pass,66.51
428,Student_428,9.0,95,69.99137749737118,D,Pass,71.3948264984227
438,Student_438,8.4,90,67.5,D,Pass,68.34
442,Student_442,9.9,100,91.0,A,Pass,85.58999999999999
445,Student_445,8.3,66,64.7,D,Pass,59.45
446,Student_446,9.5,61,79.1,C,Pass,66.71
